2025-01-16T15:06:23+0800 | main.py | run | INFO: Item data in 122 added to dataframe.
2025-01-16T15:06:26+0800 | main.py | run | INFO: Item data in 123 added to dataframe.
2025-01-16T15:06:28+0800 | main.py | run | INFO: Item data in 124 added to dataframe.
2025-01-16T15:06:32+0800 | main.py | run | INFO: Item data in 125 added to dataframe.
2025-01-16T15:06:35+0800 | main.py | run | INFO: Item data in 126 added to dataframe.
2025-01-16T15:06:38+0800 | main.py | run | INFO: Item data in 127 added to dataframe.
2025-01-16T15:06:41+0800 | main.py | run | INFO: Item data in 128 added to dataframe.
2025-01-16T15:06:44+0800 | main.py | run | INFO: Item data in 129 added to dataframe.
2025-01-16T15:06:47+0800 | main.py | run | INFO: Item data in 130 added to dataframe.
2025-01-16T15:06:49+0800 | main.py | run | INFO: Item data in 131 added to dataframe.
2025-01-16T15:06:52+0800 | main.py | run | INFO: Item data in 132 added to dataframe.
2025-01-16T15:06:56+0800 | main.py | run | INFO: Item data in 133 added to dataframe.
2025-01-16T15:06:59+0800 | main.py | run | INFO: Item data in 134 added to dataframe.
2025-01-16T15:07:02+0800 | main.py | run | INFO: Item data in 135 added to dataframe.
2025-01-16T15:07:05+0800 | main.py | run | INFO: Item data in 136 added to dataframe.
2025-01-16T15:07:08+0800 | main.py | run | INFO: Item data in 137 added to dataframe.
2025-01-16T15:07:11+0800 | main.py | run | INFO: Item data in 138 added to dataframe.
2025-01-16T15:07:13+0800 | main.py | run | INFO: Item data in 139 added to dataframe.
2025-01-16T15:07:16+0800 | main.py | run | INFO: Item data in 140 added to dataframe.
2025-01-16T15:07:19+0800 | main.py | run | INFO: Item data in 141 added to dataframe.
2025-01-16T15:07:22+0800 | main.py | run | INFO: Item data in 142 added to dataframe.
2025-01-16T15:07:25+0800 | main.py | run | INFO: Item data in 143 added to dataframe.
2025-01-16T15:07:28+0800 | main.py | run | INFO: Item data in 144 added to dataframe.
2025-01-16T15:07:31+0800 | main.py | run | INFO: Item data in 145 added to dataframe.
2025-01-16T15:07:34+0800 | main.py | run | INFO: Item data in 146 added to dataframe.
2025-01-16T15:07:37+0800 | main.py | run | INFO: Item data in 147 added to dataframe.
2025-01-16T15:07:39+0800 | main.py | run | INFO: Item data in 148 added to dataframe.
2025-01-16T15:07:42+0800 | main.py | run | INFO: Item data in 149 added to dataframe.
2025-01-16T15:07:45+0800 | main.py | run | INFO: Item data in 150 added to dataframe.
2025-01-16T15:07:48+0800 | main.py | run | INFO: Item data in 151 added to dataframe.
2025-01-16T15:07:51+0800 | main.py | run | INFO: Item data in 152 added to dataframe.
2025-01-16T15:07:54+0800 | main.py | run | INFO: Item data in 153 added to dataframe.
2025-01-16T15:07:57+0800 | main.py | run | INFO: Item data in 154 added to dataframe.
2025-01-16T15:08:00+0800 | main.py | run | INFO: Item data in 155 added to dataframe.
2025-01-16T15:08:03+0800 | main.py | run | INFO: Item data in 156 added to dataframe.
2025-01-16T15:08:07+0800 | main.py | run | INFO: Item data in 157 added to dataframe.
2025-01-16T15:08:10+0800 | main.py | run | INFO: Item data in 158 added to dataframe.
2025-01-16T15:08:13+0800 | main.py | run | INFO: Item data in 159 added to dataframe.
2025-01-16T15:08:16+0800 | main.py | run | INFO: Item data in 160 added to dataframe.
2025-01-16T15:08:20+0800 | main.py | run | INFO: Item data in 161 added to dataframe.
2025-01-16T15:08:23+0800 | main.py | run | INFO: Item data in 162 added to dataframe.
2025-01-16T15:08:27+0800 | main.py | run | INFO: Item data in 163 added to dataframe.
2025-01-16T15:08:31+0800 | main.py | run | INFO: Item data in 164 added to dataframe.
2025-01-16T15:08:34+0800 | main.py | run | INFO: Item data in 165 added to dataframe.
2025-01-16T15:08:38+0800 | main.py | run | INFO: Item data in 166 added to dataframe.
2025-01-16T15:08:41+0800 | main.py | run | INFO: Item data in 167 added to dataframe.
2025-01-16T15:08:44+0800 | main.py | run | INFO: Item data in 168 added to dataframe.
2025-01-16T15:08:47+0800 | main.py | run | INFO: Item data in 169 added to dataframe.
2025-01-16T15:08:51+0800 | main.py | run | INFO: Item data in 170 added to dataframe.
2025-01-16T15:08:54+0800 | main.py | run | INFO: Item data in 171 added to dataframe.
2025-01-16T15:08:56+0800 | main.py | run | INFO: Item data in 172 added to dataframe.
2025-01-16T15:08:59+0800 | main.py | run | INFO: Item data in 173 added to dataframe.
2025-01-16T15:09:03+0800 | main.py | run | INFO: Item data in 174 added to dataframe.
2025-01-16T15:09:06+0800 | main.py | run | INFO: Item data in 175 added to dataframe.
2025-01-16T15:09:08+0800 | main.py | run | INFO: Item data in 176 added to dataframe.
2025-01-16T15:09:11+0800 | main.py | run | INFO: Item data in 177 added to dataframe.
2025-01-16T15:09:14+0800 | main.py | run | INFO: Item data in 178 added to dataframe.
2025-01-16T15:09:18+0800 | main.py | run | INFO: Item data in 179 added to dataframe.
2025-01-16T15:09:21+0800 | main.py | run | INFO: Item data in 180 added to dataframe.
2025-01-16T15:09:24+0800 | main.py | run | INFO: Item data in 181 added to dataframe.
2025-01-16T15:09:27+0800 | main.py | run | INFO: Item data in 182 added to dataframe.
2025-01-16T15:09:30+0800 | main.py | run | INFO: Item data in 183 added to dataframe.
2025-01-16T15:09:33+0800 | main.py | run | INFO: Item data in 184 added to dataframe.
2025-01-16T15:09:36+0800 | main.py | run | INFO: Item data in 185 added to dataframe.
2025-01-16T15:09:39+0800 | main.py | run | INFO: Item data in 186 added to dataframe.
2025-01-16T15:09:42+0800 | main.py | run | INFO: Item data in 187 added to dataframe.
2025-01-16T15:09:45+0800 | main.py | run | INFO: Item data in 188 added to dataframe.
2025-01-16T15:09:48+0800 | main.py | run | INFO: Item data in 189 added to dataframe.
2025-01-16T15:09:51+0800 | main.py | run | INFO: Item data in 190 added to dataframe.
2025-01-16T15:09:54+0800 | main.py | run | INFO: Item data in 191 added to dataframe.
2025-01-16T15:09:57+0800 | main.py | run | INFO: Item data in 192 added to dataframe.
2025-01-16T15:10:00+0800 | main.py | run | INFO: Item data in 193 added to dataframe.
2025-01-16T15:10:03+0800 | main.py | run | INFO: Item data in 194 added to dataframe.
2025-01-16T15:10:07+0800 | main.py | run | INFO: Item data in 195 added to dataframe.
2025-01-16T15:10:11+0800 | main.py | run | INFO: Item data in 196 added to dataframe.
2025-01-16T15:10:14+0800 | main.py | run | INFO: Item data in 197 added to dataframe.
2025-01-16T15:10:17+0800 | main.py | run | INFO: Item data in 198 added to dataframe.
2025-01-16T15:10:20+0800 | main.py | run | INFO: Item data in 199 added to dataframe.
2025-01-16T15:10:23+0800 | main.py | run | INFO: Item data in 200 added to dataframe.
2025-01-16T15:10:26+0800 | main.py | run | INFO: Item data in 201 added to dataframe.
2025-01-16T15:10:29+0800 | main.py | run | INFO: Item data in 202 added to dataframe.
2025-01-16T15:10:32+0800 | main.py | run | INFO: Item data in 203 added to dataframe.
2025-01-16T15:10:36+0800 | main.py | run | INFO: Item data in 204 added to dataframe.
2025-01-16T15:10:40+0800 | main.py | run | INFO: Item data in 205 added to dataframe.
2025-01-16T15:10:43+0800 | main.py | run | INFO: Item data in 206 added to dataframe.
2025-01-16T15:10:46+0800 | main.py | run | INFO: Item data in 207 added to dataframe.
2025-01-16T15:10:50+0800 | main.py | run | INFO: Item data in 208 added to dataframe.
2025-01-16T15:10:54+0800 | main.py | run | INFO: Item data in 209 added to dataframe.
2025-01-16T15:10:58+0800 | main.py | run | INFO: Item data in 210 added to dataframe.
2025-01-16T15:11:02+0800 | main.py | run | INFO: Item data in 211 added to dataframe.
2025-01-16T15:11:05+0800 | main.py | run | INFO: Item data in 212 added to dataframe.
2025-01-16T15:11:09+0800 | main.py | run | INFO: Item data in 213 added to dataframe.
2025-01-16T15:11:12+0800 | main.py | run | INFO: Item data in 214 added to dataframe.
2025-01-16T15:11:17+0800 | main.py | run | INFO: Item data in 215 added to dataframe.
2025-01-16T15:11:20+0800 | main.py | run | INFO: Item data in 216 added to dataframe.
2025-01-16T15:11:23+0800 | main.py | run | INFO: Item data in 217 added to dataframe.
2025-01-16T15:11:27+0800 | main.py | run | INFO: Item data in 218 added to dataframe.
2025-01-16T15:11:30+0800 | main.py | run | INFO: Item data in 219 added to dataframe.
2025-01-16T15:11:33+0800 | main.py | run | INFO: Item data in 220 added to dataframe.
2025-01-16T15:11:36+0800 | main.py | run | INFO: Item data in 221 added to dataframe.
2025-01-16T15:11:39+0800 | main.py | run | INFO: Item data in 222 added to dataframe.
2025-01-16T15:11:43+0800 | main.py | run | INFO: Item data in 223 added to dataframe.
2025-01-16T15:11:46+0800 | main.py | run | INFO: Item data in 224 added to dataframe.
2025-01-16T15:11:50+0800 | main.py | run | INFO: Item data in 225 added to dataframe.
2025-01-16T15:11:53+0800 | main.py | run | INFO: Item data in 226 added to dataframe.
2025-01-16T15:11:56+0800 | main.py | run | INFO: Item data in 227 added to dataframe.
2025-01-16T15:12:00+0800 | main.py | run | INFO: Item data in 228 added to dataframe.
2025-01-16T15:12:04+0800 | main.py | run | INFO: Item data in 229 added to dataframe.
2025-01-16T15:12:07+0800 | main.py | run | INFO: Item data in 230 added to dataframe.
2025-01-16T15:12:10+0800 | main.py | run | INFO: Item data in 231 added to dataframe.
2025-01-16T15:12:13+0800 | main.py | run | INFO: Item data in 232 added to dataframe.
2025-01-16T15:12:16+0800 | main.py | run | INFO: Item data in 233 added to dataframe.
2025-01-16T15:12:20+0800 | main.py | run | INFO: Item data in 234 added to dataframe.
2025-01-16T15:12:23+0800 | main.py | run | INFO: Item data in 235 added to dataframe.
2025-01-16T15:12:26+0800 | main.py | run | INFO: Item data in 236 added to dataframe.
2025-01-16T15:12:29+0800 | main.py | run | INFO: Item data in 237 added to dataframe.
2025-01-16T15:12:33+0800 | main.py | run | INFO: Item data in 238 added to dataframe.
2025-01-16T15:12:37+0800 | main.py | run | INFO: Item data in 239 added to dataframe.
2025-01-16T15:12:40+0800 | main.py | run | INFO: Item data in 240 added to dataframe.
2025-01-16T15:12:43+0800 | main.py | run | INFO: Item data in 241 added to dataframe.
2025-01-16T15:12:46+0800 | main.py | run | INFO: Item data in 242 added to dataframe.
2025-01-16T15:12:49+0800 | main.py | run | INFO: Item data in 243 added to dataframe.
2025-01-16T15:12:52+0800 | main.py | run | INFO: Item data in 244 added to dataframe.
2025-01-16T15:12:55+0800 | main.py | run | INFO: Item data in 245 added to dataframe.
2025-01-16T15:12:58+0800 | main.py | run | INFO: Item data in 246 added to dataframe.
2025-01-16T15:13:02+0800 | main.py | run | INFO: Item data in 247 added to dataframe.
2025-01-16T15:13:05+0800 | main.py | run | INFO: Item data in 248 added to dataframe.
